,Name,Cas No.,solubility,predicted pH,RI,smiles,mols,mw,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,single,double,molar_conc_low,ri,molar_conc_high,molar_conc
0,"Dipotassium Anthraquinone-1,8-disulfonate",14938-42-2,-,5.633900459990151,1.3335,[K+].[K+].[O-][S](=O)(=O)c1cccc2C(=O)c3cccc(c3C(=O)c12)[S]([O-])(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x7fcf3a7ddd60>,444.5240000000002,443.8778225119999,444.5240000000002,8.0,0.0,2.0,0.0,8.0,26.0,32.0,12.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.6379960117189,148.54,-5.721799999999996,75.67540000000001,21.42578893286716,9.121027033568035,5.292271493936535,5.292271493936535,3.9916427751269614,13.546584519776388,6.304530452640313,3.534507407307138,3.534507407307138,2.5958659927669303,0.8727272727272735,24.909939721983022,8.708168097854013,4.382474232781172,8.343074707939964,14,6,0.2249597322079346,1.3335,2,0.22495973220793464
1,5-Amino-1-pentanol,2508-29-4,+,12.526277750948676,1.3463,[NH3+]CCCCCO,<rdkit.Chem.rdchem.Mol object at 0x7fcf3a7ddf20>,104.173,104.10699048809,104.173,2.0,4.0,4.0,2.0,1.0,7.0,21.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.33314393462471,47.870000000000005,-0.6091000000000002,28.691899999999983,4.689854282619243,2.8162277660168376,0.9081138830084188,0.9081138830084188,0.4653567894682631,4.689854282619243,2.8162277660168376,0.9081138830084188,0.9081138830084188,0.4653567894682631,-0.08,6.92,5.92,5.920000000000001,5.852342857142857,20,0,0.9599416355485586,1.3463,2,0.9599416355485586
2,(2-Amino-4-thiazolyl)acetic Acid,29676-71-9,-,5.877253669590058,1.349,Nc1scc(CC(O)=O)n1,<rdkit.Chem.rdchem.Mol object at 0x7fcf3a7dde40>,158.182,158.014998432,158.182,4.0,3.0,2.0,2.0,4.0,10.0,16.0,5.0,0.0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.31694514890067,76.21000000000001,0.3524,37.866200000000006,5.889227672421168,3.478880805740384,1.624560371572576,1.624560371572576,1.1215515940312166,5.072731091493441,2.599227994485489,0.9018542076247776,0.9018542076247776,0.5587706848364178,-1.1,7.012359550561798,2.656020055080856,1.6961302167925996,1.862496759972991,10,1,0.632183181398642,1.349,2,0.632183181398642
3,4-Amino-1-butanol,13325-10-5,+,12.263964519648969,1.3442,[NH3+]CCCCO,<rdkit.Chem.rdchem.Mol object at 0x7fcf3a7ddeb0>,90.146,90.09134042409,90.146,2.0,4.0,3.0,2.0,1.0,6.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9682018202281,47.870000000000005,-0.9992,24.074899999999992,3.982747501432695,2.3162277660168376,0.6581138830084188,0.6581138830084188,0.2885800941716262,3.982747501432695,2.3162277660168376,0.6581138830084188,0.6581138830084188,0.2885800941716262,-0.08,5.92,4.920000000000001,3.92,4.854400000000001,17,0,1.1093115612450912,1.3442,2,1.1093115612450912
4,6-Amino-1-hexanol,4048-33-3,+,11.939876158298038,1.3458,NCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x7fceec1c95f0>,117.192,117.1153641,117.192,2.0,3.0,5.0,2.0,2.0,8.0,23.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.69808604902132,46.25,0.4978000000000001,34.6082,5.267204551808868,3.2244760564807007,1.11223802824035,1.11223802824035,0.6096943567656694,5.267204551808868,3.2244760564807007,1.11223802824035,1.11223802824035,0.6096943567656694,-0.08,7.919999999999998,6.92,5.92,6.850799999999999,22,0,0.8533005665915763,1.3458,2,0.8533005665915763
5,2-Aminothiazole,96-50-4,-,8.722283983547493,1.3483,Nc1sccn1,<rdkit.Chem.rdchem.Mol object at 0x7fceec1c9190>,100.146,100.009519128,100.146,2.0,2.0,0.0,1.0,3.0,6.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.631305067867686,38.91,0.7253000000000001,26.5264,3.904009274460424,2.4232933723076284,1.0561214408157424,1.0561214408157424,0.6173197430765899,3.087512693532698,1.543640561052734,0.4514212792719048,0.4514212792719048,0.234462013219659,-0.5700000000000001,3.614162062615101,1.2605788622054956,0.4898743738647328,0.7593227167862686,5,0,0.998542128492401,1.3483,2,0.998542128492401
6,(1-Aminoethyl)phosphonic Acid,6323-97-3,+,1.6025006274833808,1.3482,C[C@H](N)[P](O)(O)=O,<rdkit.Chem.rdchem.Mol object at 0x7fceec1c9200>,125.06399999999998,125.024179746,125.06399999999998,4.0,4.0,1.0,3.0,2.0,7.0,15.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.49549175997875,83.55000000000001,-0.5311999999999999,25.6935,4.799016806342904,3.433002829269609,1.591622274879445,1.591622274879445,0.0,3.904589615342988,1.7514566781051757,0.5305407582931482,0.5305407582931482,0.0,0.11,7.11,1.9224110608118128,2.7646644844517185,1.9526203774817128,13,1,0.7995906096078809,1.3482,2,0.7995906096078809
7,trans-4-Aminocyclohexanol,27489-62-9,+,10.806188534329166,1.3473,NC1CCC(O)CC1,<rdkit.Chem.rdchem.Mol object at 0x7fceec1c9270>,115.176,115.099714036,115.176,2.0,3.0,0.0,2.0,2.0,8.0,21.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69225489549209,46.25,0.2485999999999997,32.450199999999995,5.007691527815025,3.2245253849359465,1.741362137341554,1.741362137341554,1.101600943615706,5.007691527815025,3.2245253849359465,1.741362137341554,1.741362137341554,1.101600943615706,-0.08,6.046262626262625,2.464484911550468,1.4562252861602496,1.8626153767119684,21,0,0.8682364381468362,1.3473,2,0.8682364381468362
8,2-Aminocyclohexanol (cis- and trans- mixture),6850-38-0,+,11.887248073626868,1.3471,NC1CCCCC1O,<rdkit.Chem.rdchem.Mol object at 0x7fceec1c92e0>,115.176,115.099714036,115.176,2.0,3.0,0.0,2.0,2.0,8.0,21.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,49.69225489549208,46.25,0.2485999999999997,32.45019999999999,5.007691527815026,3.2413621373415538,1.7815727174133975,1.7815727174133975,1.1399785226160606,5.007691527815026,3.2413621373415538,1.7815727174133975,1.7815727174133975,1.1399785226160606,-0.08,6.046262626262625,2.464484911550468,1.2017292597512377,1.8626153767119684,21,0,0.8682364381468362,1.3471,2,0.8682364381468362
9,(Aminomethyl)phosphonic Acid,1066-51-9,-,2.657869939893809,1.3407,NC[P](O)(O)=O,<rdkit.Chem.rdchem.Mol object at 0x7fceec1c9350>,111.03699999999998,111.008529682,111.03699999999998,4.0,4.0,1.0,3.0,2.0,6.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.13054964558214,83.55000000000001,-0.9197000000000002,21.0985,3.928773318339826,3.104654146019543,0.7135047463066146,0.7135047463066146,0.0,3.03434612733991,1.3070502423157562,0.2378349154355382,0.2378349154355382,0.0,0.11,6.11,1.7075182039915258,4.110000000000002,1.738822704398037,10,1,0.9006007006673452,1.3407,2,0.9006007006673452
